Asteroid ID,Asteroid Name,The Minimal estimated diameter (km),Absolute magnitude,Relative_velocity (km/s)
2469494,469494 (2002 XS40),0.2658,20.0,10.2184882633
3353630,(2006 UB64),0.2016299194,20.6,32.8200323909
3544935,(2010 PW58),0.1214940408,21.7,17.2579755841
3648643,(2013 SL20),0.0316632126,24.62,17.9792841802
3720360,(2015 KW121),0.0160160338,26.1,18.3228119313
3836927,(2018 XM5),0.0350392641,24.4,15.9444998446
54114211,(2010 KD149),0.1344481952,21.48,17.2579825841
54220860,(2021 VQ22),0.0173202827,25.93,8.9017070732
54224995,(2021 WT2),0.0396784754,24.13,14.8538292618
54268812,(2022 GD1),0.0257368254,25.07,19.0961080227
2620061,620061 (2006 UB64),0.1925550782,20.7,32.8200323676
54480235,(2024 SG),0.0094309399,27.25,8.3456321609
54527600,(2025 HU3),0.01865327,25.769,8.674257873
54527742,(2025 HS5),0.0200241909,25.615,5.0984199945
2154590,154590 (2003 MA3),0.1209358264,21.71,9.6631298781
3484042,(2009 YT6),0.1572370824,21.14,13.9155549474
3719081,(2015 HB177),0.0319561887,24.6,9.7855300667
54249333,(2022 ER2),0.1001278698,22.12,11.8633437483
54322896,(2022 VB),0.0220067027,25.41,10.6729779349
54439712,(2024 JO1),0.0073545309,27.79,15.4271229173
54500489,(2024 WL2),0.0252670754,25.11,16.7971534583
54528529,(2025 HD19),0.0207565408,25.537,9.0459090425
3529587,(2010 LJ61),0.1716148941,20.95,17.4148378417
3568329,(2011 MW1),0.0913177026,22.32,7.4746338809
3603627,(2012 JN4),0.0530340723,23.5,18.6824803752
3672461,(2014 KE39),0.058150704,23.3,7.8251025446
3692561,(2014 TV),0.0350392641,24.4,18.6391120875
3762462,(2016 TH94),0.0322518756,24.58,19.1661990151
3836275,(2018 WK),0.0101054342,27.1,12.0947443876
3841719,(2019 JX1),0.0040230458,29.1,26.1838357327
54016950,(2020 HH10),0.0483676488,23.7,16.2696775182
54225508,(2021 WR4),0.0021804944,30.43,7.6310375187
54265621,(2022 FJ1),0.0207278843,25.54,16.6476914185
54268819,(2022 FY4),0.0225193047,25.36,16.6791236456
54296726,(2022 QX1),0.0318093633,24.61,34.3981227545
54327902,(2022 WN2),0.0043107712,28.95,8.8440074957
54439716,(2024 JQ1),0.0101520787,27.09,6.3980426741
54494481,(2024 UB1),0.005377185,28.47,9.8812766042
